"ItemID","ItemTitle","TotalAttachments","AttachmentName","ServerRelativeUrl","CreatedBy"
"41","Bancroft- International Campus Lease","15","Bancroft lease -1st Amendment Letter 2017-26052017.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/41/Bancroft lease -1st Amendment Letter 2017-26052017.docx","Malini Ganapathy"
"41","Bancroft- International Campus Lease","15","FSSS - Bancroft Intenrational Campus -2013_20141223134409441.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/41/FSSS - Bancroft Intenrational Campus -2013_20141223134409441.pdf","Malini Ganapathy"
"41","Bancroft- International Campus Lease","15","FSSS Report for Bancroft -IC confirmation.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/41/FSSS Report for Bancroft -IC confirmation.pdf","Malini Ganapathy"
"41","Bancroft- International Campus Lease","15","IOP confirmation of new pricing.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/41/IOP confirmation of new pricing.pdf","Malini Ganapathy"
"41","Bancroft- International Campus Lease","15","IOP PEF - 05252017.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/41/IOP PEF - 05252017.pdf","Malini Ganapathy"
"41","Bancroft- International Campus Lease","15","NTF Relocation IC - April 202017.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/41/NTF Relocation IC - April 202017.pdf","Malini Ganapathy"
"41","Bancroft- International Campus Lease","15","SO Clearance July17-July 18_The International Campus.msg","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/41/SO Clearance July17-July 18_The International Campus.msg","Malini Ganapathy"
"41","Bancroft- International Campus Lease","15","SO clearance.msg","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/41/SO clearance.msg","Malini Ganapathy"
"42","Mexico - List of Premise","1","Mexico - List of Premise.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/42/Mexico - List of Premise.xlsx","Malini Ganapathy"
"43","Trinidad_Tobago-List of Premises","1","Trinidad _Tobago- List of Premises.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/43/Trinidad _Tobago- List of Premises.xlsx","Malini Ganapathy"
"44","El Salvador - List of Premises","1","El Salvador - List of Premise.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/44/El Salvador - List of Premise.xlsx","Malini Ganapathy"
"45","Bolivia-List of Premises","1","Bolivia - List of Premises.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/45/Bolivia - List of Premises.xlsx","Malini Ganapathy"
"46","Guatemala - List of Premises","1","Guatemala - List of Premises.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/46/Guatemala - List of Premises.xlsx","Malini Ganapathy"
"47","Paraguay - List of Premises","1","Paraguay - List of Premises.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/47/Paraguay - List of Premises.xlsx","Malini Ganapathy"
"48","Haiti_List of Premises","1","Haiti - List of Premises.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/48/Haiti - List of Premises.xlsx","Malini Ganapathy"
"49","Ecuador -List of Premise","1","Ecuador - List of Premise.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/49/Ecuador - List of Premise.xlsx","Malini Ganapathy"
"50","Samoa - Relocation to new premise provided by Govt","3","Facility Survey and Security Survey Form - Apolima Building Apia - 20 Feb 17.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/50/Facility Survey and Security Survey Form - Apolima Building Apia - 20 Feb 17.pdf","Malini Ganapathy"
"50","Samoa - Relocation to new premise provided by Govt","3","final Cost Benefit Analysis-SAMOA 2017 rev 25 May 17.xls","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/50/final Cost Benefit Analysis-SAMOA 2017 rev 25 May 17.xls","Malini Ganapathy"
"50","Samoa - Relocation to new premise provided by Govt","3","MOA-UN-Samoa Govt-Apil 2017 submitted for govt review.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/50/MOA-UN-Samoa Govt-Apil 2017 submitted for govt review.docx","Malini Ganapathy"
"51","Amendment form for sublease agreement","1","Amendment Letter Template to Lease or MOA.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/51/Amendment Letter Template to Lease or MOA.docx","Tahsin Ashraful Haque"
"56","Ghana- Housing Budget","5","GHA_ASL_2017.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/56/GHA_ASL_2017.pdf","Malini Ganapathy"
"56","Ghana- Housing Budget","5","GHA_Housing Budget_2017.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/56/GHA_Housing Budget_2017.xlsx","Malini Ganapathy"
"56","Ghana- Housing Budget","5","GHA_Housing Budget_2017_240517 (1).xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/56/GHA_Housing Budget_2017_240517 (1).xlsx","Malini Ganapathy"
"56","Ghana- Housing Budget","5","GHA_Housing Budget_2017_240517.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/56/GHA_Housing Budget_2017_240517.xlsx","Malini Ganapathy"
"56","Ghana- Housing Budget","5","HOUSING CLARIFICATION  (2)   2017.zip","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/56/HOUSING CLARIFICATION  (2)   2017.zip","Malini Ganapathy"
"57","Tunisia- Lease extension","2","Amendment Letter Template to Lease or MOA_clean 14 Aug 13.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/57/Amendment Letter Template to Lease or MOA_clean 14 Aug 13.docx","Malini Ganapathy"
"57","Tunisia- Lease extension","2","SO Clearance.msg","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/57/SO Clearance.msg","Malini Ganapathy"
"60","Iraq_ Premise list update","1","IRQ_List of premise.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/60/IRQ_List of premise.xlsx","Malini Ganapathy"
"61","Afghanistan -Premise list update","1","AFG-List of premise.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/61/AFG-List of premise.xlsx","Malini Ganapathy"
"62","Pateo premises_ Timor Leste","6","[Untitled].pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/62/[Untitled].pdf","Malini Ganapathy"
"62","Pateo premises_ Timor Leste","6","RBAP-One Stop Shop.msg","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/62/RBAP-One Stop Shop.msg","Malini Ganapathy"
"62","Pateo premises_ Timor Leste","6","SO Clearance.msg","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/62/SO Clearance.msg","Malini Ganapathy"
"62","Pateo premises_ Timor Leste","6","Timor Leste _Lease Agreement _GO_210617.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/62/Timor Leste _Lease Agreement _GO_210617.docx","Malini Ganapathy"
"62","Pateo premises_ Timor Leste","6","Timor Leste _Lease Agreement UNDP 001 (2)_rev.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/62/Timor Leste _Lease Agreement UNDP 001 (2)_rev.docx","Malini Ganapathy"
"62","Pateo premises_ Timor Leste","6","UNDP Standard Lease Agreement Template-English.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/62/UNDP Standard Lease Agreement Template-English.docx","Malini Ganapathy"
"63","UGA RFA - Rent outstanding Haimanot","1","UNDP_Tenantlease House 6 Haimanot 2017.doc","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/63/UNDP_Tenantlease House 6 Haimanot 2017.doc","Malini Ganapathy"
"64","CPV RFA - Rent outstanding Apr 2017","1","Apr 2017_Outstanding rental.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/64/Apr 2017_Outstanding rental.docx","Malini Ganapathy"
"66","UGA- UN Village Budget_2017","2","2017 UN Village Budget_270417_CO.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/66/2017 UN Village Budget_270417_CO.xlsx","Malini Ganapathy"
"66","UGA- UN Village Budget_2017","2","ASL_UGA_2017_PDF.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/66/ASL_UGA_2017_PDF.pdf","Malini Ganapathy"
"68","Cameroon - Issues with former office","5","Avenant N 06 Contrat de Bail SCI FOUL ASSI 2016.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/68/Avenant N 06 Contrat de Bail SCI FOUL ASSI 2016.pdf","Malini Ganapathy"
"68","Cameroon - Issues with former office","5","CONTRAT SCI FOUL ASSI.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/68/CONTRAT SCI FOUL ASSI.pdf","Malini Ganapathy"
"68","Cameroon - Issues with former office","5","SCI FOULASSI ETAT CONTRADICTOIRE ENTREE IMMEUBLE 2004.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/68/SCI FOULASSI ETAT CONTRADICTOIRE ENTREE IMMEUBLE 2004.pdf","Malini Ganapathy"
"68","Cameroon - Issues with former office","5","SCI FOULASSI Facture de la mise en etat de limmeuble SCI FOULASSI.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/68/SCI FOULASSI Facture de la mise en etat de limmeuble SCI FOULASSI.pdf","Malini Ganapathy"
"68","Cameroon - Issues with former office","5","SCI FOULASSI Proces Verbal de Constat Contradictoire dEtat des Lieux 2.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/68/SCI FOULASSI Proces Verbal de Constat Contradictoire dEtat des Lieux 2.pdf","Malini Ganapathy"
"69","Somalia- MOU amendments OCHA Somalia","6","Amendment_MOU- UNOCHA for General Services in Somalia.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/69/Amendment_MOU- UNOCHA for General Services in Somalia.docx","Malini Ganapathy"
"69","Somalia- MOU amendments OCHA Somalia","6","Armenia_Amendment to the MOU_26Jun12 (00000002).doc","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/69/Armenia_Amendment to the MOU_26Jun12 (00000002).doc","Malini Ganapathy"
"69","Somalia- MOU amendments OCHA Somalia","6","MOU- UNOCHA for General Services in Somalia.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/69/MOU- UNOCHA for General Services in Somalia.pdf","Malini Ganapathy"
"69","Somalia- MOU amendments OCHA Somalia","6","MOU_Amendment_UNDP_OCHA_Somalia_Security_May2017.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/69/MOU_Amendment_UNDP_OCHA_Somalia_Security_May2017.pdf","Malini Ganapathy"
"69","Somalia- MOU amendments OCHA Somalia","6","Re Amendment to MOU for Common Services ( security UN clinics and RMU).msg","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/69/Re Amendment to MOU for Common Services ( security UN clinics and RMU).msg","Malini Ganapathy"
"69","Somalia- MOU amendments OCHA Somalia","6","Somalia_Amendment to the MOU_18052017 Final Draft.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/69/Somalia_Amendment to the MOU_18052017 Final Draft.pdf","Malini Ganapathy"
"70","COM RFA - Status of collection for Apr 17","2","COM_May17.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/70/COM_May17.xlsx","Malini Ganapathy"
"70","COM RFA - Status of collection for Apr 17","2","DEPOSIT 999.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/70/DEPOSIT 999.pdf","Malini Ganapathy"
"71","Syria- Lease agreement on behalf of OCHA","6","OCHA - Appendix I.DOCX","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/71/OCHA - Appendix I.DOCX","Malini Ganapathy"
"71","Syria- Lease agreement on behalf of OCHA","6","OCHA - Appendix I_060617.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/71/OCHA - Appendix I_060617.docx","Malini Ganapathy"
"71","Syria- Lease agreement on behalf of OCHA","6","OCHA Lease Contract - Al Assadi Bldg.doc","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/71/OCHA Lease Contract - Al Assadi Bldg.doc","Malini Ganapathy"
"71","Syria- Lease agreement on behalf of OCHA","6","OCHA Lease Contract - Al Assadi Bldg_010607.doc","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/71/OCHA Lease Contract - Al Assadi Bldg_010607.doc","Malini Ganapathy"
"71","Syria- Lease agreement on behalf of OCHA","6","OCHA Lease Contract - Al Assadi Bldg_020617.doc","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/71/OCHA Lease Contract - Al Assadi Bldg_020617.doc","Malini Ganapathy"
"71","Syria- Lease agreement on behalf of OCHA","6","UNDP Standard Lease Agreement Template-English.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/71/UNDP Standard Lease Agreement Template-English.docx","Malini Ganapathy"
"72","UNDP Seoul Policy Centre -Lease renewal","1","Lease Agreement between KU and USPC 2017-2019_signed.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/72/Lease Agreement between KU and USPC 2017-2019_signed.pdf","Malini Ganapathy"
"73","DRC- UN House TOR for consultant","1","UNDP HOUse ToR for CBA.DOCX","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/73/UNDP HOUse ToR for CBA.DOCX","Malini Ganapathy"
"74","Chad - Housing budget 2017","5","Chad_ASL_2017.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/74/Chad_ASL_2017.pdf","Malini Ganapathy"
"74","Chad - Housing budget 2017","5","Chad_budget_2017_130617.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/74/Chad_budget_2017_130617.xlsx","Malini Ganapathy"
"74","Chad - Housing budget 2017","5","Chad_budget_2017_260517.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/74/Chad_budget_2017_260517.xlsx","Malini Ganapathy"
"74","Chad - Housing budget 2017","5","Report - Maintenance of offices and Residence.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/74/Report - Maintenance of offices and Residence.pdf","Malini Ganapathy"
"74","Chad - Housing budget 2017","5","Title deed Duplicate.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/74/Title deed Duplicate.pdf","Malini Ganapathy"
"75","Libya - Draft MOU and Costing for the use of OEA Compound ","3","Annex E common price list breakdown.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/75/Annex E common price list breakdown.pdf","Malini Ganapathy"
"75","Libya - Draft MOU and Costing for the use of OEA Compound ","3","Annex E, Common service price list.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/75/Annex E, Common service price list.pdf","Malini Ganapathy"
"75","Libya - Draft MOU and Costing for the use of OEA Compound ","3","UNSMIL MOU-UNCT V3.doc","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/75/UNSMIL MOU-UNCT V3.doc","Malini Ganapathy"
"77","Philippines - UNDP Office relocation","1","Rockwell Sheridan lease - 15 Feb 2018 - 14 Feb 2023_final.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/77/Rockwell Sheridan lease - 15 Feb 2018 - 14 Feb 2023_final.pdf","Malini Ganapathy"
"79","CPV- RFA Adjustment entries","1","CPV_RFA_310517.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/79/CPV_RFA_310517.xlsx","Malini Ganapathy"
"80","GNB- RFA Adjusting entries","2","GNB_RFA_310517.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/80/GNB_RFA_310517.xlsx","Malini Ganapathy"
"80","GNB- RFA Adjusting entries","2","RENT OIM 2017.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/80/RENT OIM 2017.pdf","Malini Ganapathy"
"81","GHA-RFA Adjustment entries","1","GHA_RFA_310517.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/81/GHA_RFA_310517.xlsx","Malini Ganapathy"
"82","Tajikistan - Lotus lease agreement ","15","5.TTCP-PRELIMINARY-SPACE-CALCULATIONS_CMP standards.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/82/5.TTCP-PRELIMINARY-SPACE-CALCULATIONS_CMP standards.xlsx","Malini Ganapathy"
"82","Tajikistan - Lotus lease agreement ","15","CMPchangeGuidelines (3).doc","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/82/CMPchangeGuidelines (3).doc","Malini Ganapathy"
"82","Tajikistan - Lotus lease agreement ","15","Cost Benefit Analysis.xls","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/82/Cost Benefit Analysis.xls","Malini Ganapathy"
"82","Tajikistan - Lotus lease agreement ","15","Cost Benefit Analysis-Feb-27-2009.xls","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/82/Cost Benefit Analysis-Feb-27-2009.xls","Malini Ganapathy"
"82","Tajikistan - Lotus lease agreement ","15","Evaluaiton minutes of the case.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/82/Evaluaiton minutes of the case.pdf","Malini Ganapathy"
"82","Tajikistan - Lotus lease agreement ","15","Letter of Interest signed by UN Agencies.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/82/Letter of Interest signed by UN Agencies.pdf","Malini Ganapathy"
"82","Tajikistan - Lotus lease agreement ","15","Memorandum of Understing Among Agencies-MOU-English.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/82/Memorandum of Understing Among Agencies-MOU-English.docx","Malini Ganapathy"
"82","Tajikistan - Lotus lease agreement ","15","RACP Endorsement.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/82/RACP Endorsement.pdf","Malini Ganapathy"
"82","Tajikistan - Lotus lease agreement ","15","Tajikistan -UNDP Lease Agreement with Halimboi Sharipov.doc","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/82/Tajikistan -UNDP Lease Agreement with Halimboi Sharipov.doc","Malini Ganapathy"
"82","Tajikistan - Lotus lease agreement ","15","Template.Signing on Agency Leases Letter of Confirmation.doc","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/82/Template.Signing on Agency Leases Letter of Confirmation.doc","Malini Ganapathy"
"82","Tajikistan - Lotus lease agreement ","15","UNDP Lease Agreement with Halimboi Sharipov (002).doc","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/82/UNDP Lease Agreement with Halimboi Sharipov (002).doc","Malini Ganapathy"
"82","Tajikistan - Lotus lease agreement ","15","UNDP Lease Agreement with Halimboi Sharipov UNDP UNW OHCHR_240717.doc","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/82/UNDP Lease Agreement with Halimboi Sharipov UNDP UNW OHCHR_240717.doc","Malini Ganapathy"
"82","Tajikistan - Lotus lease agreement ","15","UNDP Lease Agreement with Halimboi Sharipov UNODC_240717.doc","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/82/UNDP Lease Agreement with Halimboi Sharipov UNODC_240717.doc","Malini Ganapathy"
"82","Tajikistan - Lotus lease agreement ","15","UNDP Lease Agreement with Halimboi Sharipov_CO.doc","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/82/UNDP Lease Agreement with Halimboi Sharipov_CO.doc","Malini Ganapathy"
"82","Tajikistan - Lotus lease agreement ","15","UNDSS Security Assessment report.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/82/UNDSS Security Assessment report.pdf","Malini Ganapathy"
"83","Syria - Qamishli UN Hub - Lease Renewal","10","annex qamishli.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/83/annex qamishli.pdf","Malini Ganapathy"
"83","Syria - Qamishli UN Hub - Lease Renewal","10","common services.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/83/common services.pdf","Malini Ganapathy"
"83","Syria - Qamishli UN Hub - Lease Renewal","10","FSSS Qamishli UN Hub after revision final.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/83/FSSS Qamishli UN Hub after revision final.pdf","Malini Ganapathy"
"83","Syria - Qamishli UN Hub - Lease Renewal","10","Fund Status.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/83/Fund Status.pdf","Malini Ganapathy"
